attack_type,dataset,iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy
fg_random,Cora,21,2.3015713691711426,16.25234031677246,166.0,0.41831502318382263,416780.9375,0.804,0.258
fg_random,Cora,22,2.5007448196411133,17.890851974487305,182.0,0.43805527687072754,484159.125,0.803,0.258
fg_random,Cora,23,2.5007448196411133,17.890851974487305,182.0,0.43805527687072754,484159.125,0.803,0.258
fg_random,Cora,24,2.5007448196411133,17.890851974487305,182.0,0.43805527687072754,484159.125,0.803,0.258
fg_random,Cora,25,2.785264730453491,19.92578125,206.0,0.46589651703834534,515956.84375,0.803,0.258
fg_random,Cora,26,2.7644400596618652,19.490970611572266,210.0,0.4701402187347412,516950.96875,0.803,0.258
fg_random,Cora,27,2.819694757461548,19.640579223632812,218.0,0.4789508879184723,524138.625,0.803,0.258
fg_random,Cora,28,2.9460527896881104,21.326139450073242,222.0,0.48390328884124756,619406.25,0.803,0.258
fg_random,Cora,29,3.1978189945220947,23.82951545715332,234.0,0.49745050072669983,625936.625,0.802,0.258
fg_random,Cora,30,3.3297810554504395,25.553836822509766,238.0,0.5022315382957458,629353.5,0.802,0.258
fg_random,Cora,31,3.4480457305908203,26.460708618164062,250.0,0.5145667791366577,607941.9375,0.802,0.258
fg_random,Cora,32,3.5614118576049805,28.02946662902832,258.0,0.5230076313018799,608559.875,0.802,0.258
fg_random,Cora,33,3.727107286453247,29.822349548339844,266.0,0.531389594078064,612510.8125,0.802,0.258
fg_random,Cora,34,3.842787504196167,30.84052276611328,274.0,0.539506196975708,626262.3125,0.801,0.259
fg_random,Cora,35,4.0832953453063965,32.81984329223633,290.0,0.5551669597625732,649106.1875,0.8,0.259
fg_random,Cora,36,4.1167778968811035,32.840599060058594,300.0,0.5642168521881104,706468.8125,0.8,0.259
fg_random,Cora,37,4.433484077453613,33.328880310058594,336.0,0.5959681868553162,735500.625,0.799,0.259
fg_random,Cora,38,4.468957424163818,33.42110061645508,340.0,0.5994089245796204,740183.0,0.799,0.258
fg_random,Cora,39,4.646723747253418,34.44416809082031,360.0,0.6163535118103027,751487.75,0.798,0.256
fg_random,Cora,40,4.646723747253418,34.44416809082031,360.0,0.6163535118103027,751487.75,0.798,0.256
fg_random,Cora,41,4.6905035972595215,34.527870178222656,368.0,0.6229000687599182,772691.0,0.798,0.256
fg_random,Cora,42,5.11715030670166,37.47187423706055,400.0,0.6494544744491577,771188.0625,0.798,0.254
fg_random,Cora,43,5.253702163696289,39.155517578125,408.0,0.6562528610229492,785128.625,0.798,0.254
fg_random,Cora,44,5.419689178466797,40.21620178222656,424.0,0.668771505355835,792933.875,0.799,0.254
fg_random,Cora,45,5.419689178466797,40.21620178222656,424.0,0.668771505355835,792933.875,0.799,0.254
fg_random,Cora,46,5.455392837524414,40.377227783203125,428.0,0.6718393564224243,799649.0625,0.799,0.254
fg_random,Cora,47,5.556962966918945,40.7036247253418,436.0,0.6779853105545044,817627.0,0.798,0.254
fg_random,Cora,48,5.667462348937988,42.31680679321289,440.0,0.6813778281211853,827259.125,0.798,0.253
fg_random,Cora,49,5.667462348937988,42.31680679321289,440.0,0.6813778281211853,827259.125,0.798,0.253
fg_random,Cora,50,5.699771404266357,42.549034118652344,446.0,0.6859492659568787,827781.625,0.798,0.253
fg_random,Cora,51,5.699771404266357,42.549034118652344,446.0,0.6859492659568787,827781.625,0.798,0.253
fg_random,Cora,52,5.74730110168457,42.14338684082031,456.0,0.6935892701148987,831933.375,0.798,0.253
fg_random,Cora,53,5.8138933181762695,42.235382080078125,468.0,0.7021676898002625,841787.875,0.799,0.252
fg_random,Cora,54,5.809733867645264,42.228477478027344,470.0,0.7035115361213684,841529.75,0.799,0.252
fg_random,Cora,55,5.842588424682617,42.26333999633789,478.0,0.7092200517654419,875462.5,0.799,0.251
fg_random,Cora,56,5.951390266418457,43.86452865600586,482.0,0.7124574184417725,876800.9375,0.798,0.251
fg_random,Cora,57,6.043478012084961,44.04142379760742,490.0,0.718273401260376,886439.375,0.798,0.251
fg_random,Cora,58,6.043478012084961,44.04142379760742,490.0,0.718273401260376,886439.375,0.798,0.251
